  1    4   0  6.2464249  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
      0.000000000    1.395973545    0.000000000
      0.000000000    0.000000000    6.711099855
           1  'P  '    28230.8552091869     
   7   1   1  -8.02116666667E-05   0.00000000000E+00
   8   1   1   5.85636344880E-04   0.00000000000E+00
   1   2   1  -4.62216006249E-03   0.00000000000E+00
   2   2   1  -4.62216068778E-03   0.00000000000E+00
   3   2   1   5.85567496051E-04   0.00000000000E+00
   4   2   1  -8.02338134955E-05   0.00000000000E+00
   5   2   1  -1.76241371262E-06   0.00000000000E+00
   6   2   1  -1.76178842827E-06   0.00000000000E+00
   7   2   1  -8.02342738881E-05   0.00000000000E+00
   8   2   1   5.85567035658E-04   0.00000000000E+00
   1   3   1  -2.42547738617E-04   0.00000000000E+00
   2   3   1  -2.42548414318E-04   0.00000000000E+00
   3   3   1   1.25862881493E-04   0.00000000000E+00
   4   3   1   2.03027284283E-05   0.00000000000E+00
   5   3   1  -1.14370926075E-05   0.00000000000E+00
   6   3   1  -1.14364169059E-05   0.00000000000E+00
   7   3   1   2.03024957966E-05   0.00000000000E+00
   8   3   1   1.25862648861E-04   0.00000000000E+00
   1   4   1  -3.23333333333E-06   0.00000000000E+00
   2   4   1  -3.23450259903E-06   0.00000000000E+00
   3   4   1  -1.59329166667E-05   0.00000000000E+00
   4   4   1   1.49118768588E-05   0.00000000000E+00
   5   4   1  -1.12083333333E-06   0.00000000000E+00
   6   4   1  -1.11966406763E-06   0.00000000000E+00
   7   4   1   1.49120833333E-05   0.00000000000E+00
   8   4   1  -1.59327101922E-05   0.00000000000E+00
   1   5   1  -3.44101138323E-06   0.00000000000E+00
   2   5   1  -3.44038457677E-06   0.00000000000E+00
   3   5   1  -1.58845481595E-05   0.00000000000E+00
   4   5   1   1.49653827164E-05   0.00000000000E+00
   5   5   1  -1.14582405918E-06   0.00000000000E+00
   6   5   1  -1.14645086564E-06   0.00000000000E+00
   7   5   1   1.49641708701E-05   0.00000000000E+00
   8   5   1  -1.58857600058E-05   0.00000000000E+00
   1   6   1  -2.42395354175E-04   0.00000000000E+00
   2   6   1  -2.42395445086E-04   0.00000000000E+00
   3   6   1   1.25786670616E-04   0.00000000000E+00
   4   6   1   2.03135925117E-05   0.00000000000E+00
   5   6   1  -1.13955029540E-05   0.00000000000E+00
   6   6   1  -1.13954120440E-05   0.00000000000E+00
   7   6   1   2.03134405548E-05   0.00000000000E+00
   8   6   1   1.25786518659E-04   0.00000000000E+00
   1   1   2   4
   1   1   1  -8.93491125000E-02   0.00000000000E+00
   2   1   1  -8.93491125585E-02   0.00000000000E+00
   3   1   1  -2.81328583333E-03   0.00000000000E+00
   4   1   1  -3.03459905493E-04   0.00000000000E+00
   5   1   1  -2.18933333333E-05   0.00000000000E+00
   6   1   1  -2.18932748464E-05   0.00000000000E+00
   7   1   1  -3.03460000000E-04   0.00000000000E+00
   8   1   1  -2.81328592784E-03   0.00000000000E+00
   1   2   1   1.46894092471E-04   0.00000000000E+00
   2   2   1   1.46893823242E-04   0.00000000000E+00
   3   2   1  -6.06049879428E-05   0.00000000000E+00
   4   2   1  -5.58242084373E-05   0.00000000000E+00
   5   2   1  -4.08182697685E-06   0.00000000000E+00
   6   2   1  -4.08155774836E-06   0.00000000000E+00
   7   2   1  -5.58235432914E-05   0.00000000000E+00
   8   2   1  -6.06043227969E-05   0.00000000000E+00
   1   3   1   1.92149580720E-04   0.00000000000E+00
   2   3   1   1.92149168092E-04   0.00000000000E+00
   3   3   1  -1.71913738712E-04   0.00000000000E+00
   4   3   1   4.24969852106E-05   0.00000000000E+00
   5   3   1  -6.46639496701E-06   0.00000000000E+00
   6   3   1  -6.46598233945E-06   0.00000000000E+00
   7   3   1   4.24971237011E-05   0.00000000000E+00
   8   3   1  -1.71913600222E-04   0.00000000000E+00
   1   4   1   1.16204166667E-05   0.00000000000E+00
   2   4   1   1.16205462334E-05   0.00000000000E+00
   3   4   1   8.64791666667E-06   0.00000000000E+00
   4   4   1  -2.17624087404E-05   0.00000000000E+00
   5   4   1   7.36625000000E-06   0.00000000000E+00
   6   4   1   7.36612043326E-06   0.00000000000E+00
   7   4   1  -2.17612500000E-05   0.00000000000E+00
   8   4   1   8.64907540710E-06   0.00000000000E+00
   1   5   1   2.09666692805E-05   0.00000000000E+00
   2   5   1   2.09665644516E-05   0.00000000000E+00
   3   5   1   7.99582204559E-06   0.00000000000E+00
   4   5   1  -3.71861533402E-05   0.00000000000E+00
   5   5   1   3.75847830034E-06   0.00000000000E+00
   6   5   1   3.75858312923E-06   0.00000000000E+00
   7   5   1  -3.71858737011E-05   0.00000000000E+00
   8   5   1   7.99610168469E-06   0.00000000000E+00
   1   6   1   2.79905490862E-04   0.00000000000E+00
   2   6   1   2.79905079558E-04   0.00000000000E+00
   3   6   1  -3.11877928724E-04   0.00000000000E+00
   4   6   1  -7.54857592220E-05   0.00000000000E+00
   5   6   1   3.32557697685E-06   0.00000000000E+00
   6   6   1   3.32598828150E-06   0.00000000000E+00
   7   6   1  -7.54852067086E-05   0.00000000000E+00
   8   6   1  -3.11877376210E-04   0.00000000000E+00
   1   1   3   1
   1   1   1  -8.93491125000E-02   0.00000000000E+00
   2   1   1  -2.81328592784E-03   0.00000000000E+00
   3   1   1  -3.03460000000E-04   0.00000000000E+00
   4   1   1  -2.18932748464E-05   0.00000000000E+00
   5   1   1  -2.18933333333E-05   0.00000000000E+00
   6   1   1  -3.03459905493E-04   0.00000000000E+00
   7   1   1  -2.81328583333E-03   0.00000000000E+00
   8   1   1  -8.93491125585E-02   0.00000000000E+00
   1   2   1   1.46894092471E-04   0.00000000000E+00
   2   2   1  -6.06043227969E-05   0.00000000000E+00
   3   2   1  -5.58235432914E-05   0.00000000000E+00
   4   2   1  -4.08155774836E-06   0.00000000000E+00
   5   2   1  -4.08182697685E-06   0.00000000000E+00
   6   2   1  -5.58242084373E-05   0.00000000000E+00
   7   2   1  -6.06049879428E-05   0.00000000000E+00
   8   2   1   1.46893823242E-04   0.00000000000E+00
   1   3   1   1.92149580720E-04   0.00000000000E+00
   2   3   1  -1.71913600222E-04   0.00000000000E+00
   3   3   1   4.24971237011E-05   0.00000000000E+00
   4   3   1  -6.46598233945E-06   0.00000000000E+00
   5   3   1  -6.46639496701E-06   0.00000000000E+00
   6   3   1   4.24969852106E-05   0.00000000000E+00
   7   3   1  -1.71913738712E-04   0.00000000000E+00
   8   3   1   1.92149168092E-04   0.00000000000E+00
   1   4   1   1.16204166667E-05   0.00000000000E+00
   2   4   1   8.64907540710E-06   0.00000000000E+00
   3   4   1  -2.17612500000E-05   0.00000000000E+00
   4   4   1   7.36612043326E-06   0.00000000000E+00
   5   4   1   7.36625000000E-06   0.00000000000E+00
   6   4   1  -2.17624087404E-05   0.00000000000E+00
   7   4   1   8.64791666667E-06   0.00000000000E+00
   8   4   1   1.16205462334E-05   0.00000000000E+00
   1   5   1   2.09666692805E-05   0.00000000000E+00
   2   5   1   7.99610168469E-06   0.00000000000E+00
   3   5   1  -3.71858737011E-05   0.00000000000E+00
   4   5   1   3.75858312923E-06   0.00000000000E+00
   5   5   1   3.75847830034E-06   0.00000000000E+00
   6   5   1  -3.71861533402E-05   0.00000000000E+00
   7   5   1   7.99582204559E-06   0.00000000000E+00
   8   5   1   2.09665644516E-05   0.00000000000E+00
   1   6   1   2.79905490862E-04   0.00000000000E+00
   2   6   1  -3.11877376210E-04   0.00000000000E+00
   3   6   1  -7.54852067086E-05   0.00000000000E+00
   4   6   1   3.32598828150E-06   0.00000000000E+00
   5   6   1   3.32557697685E-06   0.00000000000E+00
   6   6   1  -7.54857592220E-05   0.00000000000E+00
   7   6   1  -3.11877928724E-04   0.00000000000E+00
   8   6   1   2.79905079558E-04   0.00000000000E+00
   1   1   3   2
   1   1   1  -4.62227625000E-03   0.00000000000E+00
   2   1   1   5.85636344880E-04   0.00000000000E+00
   3   1   1  -8.02116666667E-05   0.00000000000E+00
   4   1   1  -1.81347007305E-06   0.00000000000E+00
   5   1   1  -1.81208333333E-06   0.00000000000E+00
   6   1   1  -8.02113448800E-05   0.00000000000E+00
   7   1   1   5.85636666667E-04   0.00000000000E+00
   8   1   1  -4.62227486326E-03   0.00000000000E+00
   1   2   1  -2.42395354175E-04   0.00000000000E+00
   2   2   1   1.25786518659E-04   0.00000000000E+00
   3   2   1   2.03134405548E-05   0.00000000000E+00
   4   2   1  -1.13954120440E-05   0.00000000000E+00
   5   2   1  -1.13955029540E-05   0.00000000000E+00
   6   2   1   2.03135925117E-05   0.00000000000E+00
   7   2   1   1.25786670616E-04   0.00000000000E+00
   8   2   1  -2.42395445086E-04   0.00000000000E+00
   1   3   1  -3.44101138323E-06   0.00000000000E+00
   2   3   1  -1.58857600058E-05   0.00000000000E+00
   3   3   1   1.49641708701E-05   0.00000000000E+00
   4   3   1  -1.14645086564E-06   0.00000000000E+00
   5   3   1  -1.14582405918E-06   0.00000000000E+00
   6   3   1   1.49653827164E-05   0.00000000000E+00
   7   3   1  -1.58845481595E-05   0.00000000000E+00
   8   3   1  -3.44038457677E-06   0.00000000000E+00
   1   4   1  -3.23333333333E-06   0.00000000000E+00
   2   4   1  -1.59327101922E-05   0.00000000000E+00
   3   4   1   1.49120833333E-05   0.00000000000E+00
   4   4   1  -1.11966406763E-06   0.00000000000E+00
   5   4   1  -1.12083333333E-06   0.00000000000E+00
   6   4   1   1.49118768588E-05   0.00000000000E+00
   7   4   1  -1.59329166667E-05   0.00000000000E+00
   8   4   1  -3.23450259903E-06   0.00000000000E+00
   1   5   1  -2.42547738617E-04   0.00000000000E+00
   2   5   1   1.25862648861E-04   0.00000000000E+00
   3   5   1   2.03024957966E-05   0.00000000000E+00
   4   5   1  -1.14364169059E-05   0.00000000000E+00
   5   5   1  -1.14370926075E-05   0.00000000000E+00
   6   5   1   2.03027284283E-05   0.00000000000E+00
   7   5   1   1.25862881493E-04   0.00000000000E+00
   8   5   1  -2.42548414318E-04   0.00000000000E+00
   1   6   1  -4.62216006249E-03   0.00000000000E+00
   2   6   1   5.85567035658E-04   0.00000000000E+00
   3   6   1  -8.02342738881E-05   0.00000000000E+00
   4   6   1  -1.76178842827E-06   0.00000000000E+00
   5   6   1  -1.76241371262E-06   0.00000000000E+00
   6   6   1  -8.02338134955E-05   0.00000000000E+00
   7   6   1   5.85567496051E-04   0.00000000000E+00
